Hero,Rank,Win Rate,Equipment,Equipment Win Rate,Counters,Synergies
c4051,Ranking: 140 / 335,43.35,"{'0': ['set_acc', 'set_speed'], '1': ['set_immune', 'set_speed'], '2': ['set_max_hp', 'set_speed'], '3': ['set_cri', 'set_speed'], '4': ['set_speed']}","{'0': '50.94', '1': '49.32', '2': '41.51', '3': '36.59', '4': '33.33'}","['c5110', 'c1104', 'c1162']","['c1104', 'c5110', 'c2011']"
c3092,,,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c2128,Ranking: 34 / 335,51.82,"{'0': ['set_counter', 'set_penetrate'], '1': ['set_cri_dmg', 'set_penetrate'], '2': ['set_penetrate', 'set_speed'], '3': ['set_counter', 'set_cri'], '4': ['set_cri', 'set_cri_dmg']}","{'0': '54.39', '1': '49.9', '2': '50.86', '3': '47.25', '4': '43.9'}","['c5110', 'c2011', 'c2112']","['c5110', 'c2112', 'c2011']"
c5089,Ranking: 64 / 335,49.71,"{'0': ['set_speed', 'set_torrent'], '1': ['set_penetrate', 'set_speed'], '2': ['set_torrent', 'set_torrent', 'set_torrent'], '3': ['set_speed'], '4': ['set_cri_dmg', 'set_torrent']}","{'0': '51.15', '1': '45.42', '2': '42.49', '3': '42.81', '4': '38.93'}","['c5110', 'c1104', 'c2106']","['c5110', 'c2112', 'c2011']"
c1085,Ranking: 310 / 335,0,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c2102,Ranking: 23 / 335,53.28,"{'0': ['set_acc', 'set_acc', 'set_acc'], '1': ['set_acc', 'set_att'], '2': ['set_acc', 'set_acc'], '3': ['set_acc'], '4': ['set_acc', 'set_acc', 'set_torrent']}","{'0': '54.94', '1': '51.24', '2': '58.33', '3': '53.82', '4': '56.42'}","['c5110', 'c2011', 'c2112']","['c1133', 'c5110', 'c2066']"
c3006,Ranking: 297 / 335,16.67,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c2005,Ranking: 55 / 335,50,"{'0': ['set_cri', 'set_speed'], '1': ['set_speed', 'set_torrent'], '2': ['set_cri', 'set_cri_dmg'], '3': ['set_cri_dmg', 'set_torrent'], '4': ['set_att', 'set_cri']}","{'0': '100', '1': '50', '2': '100', '3': '0', '4': '0'}",[],[]
c3035,Ranking: 310 / 335,0,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c2016,Ranking: 46 / 335,50.91,"{'0': ['set_cri', 'set_vampire'], '1': ['set_immune', 'set_vampire'], '2': ['set_def', 'set_vampire'], '3': ['set_max_hp', 'set_vampire'], '4': ['set_vampire']}","{'0': '49.55', '1': '56.88', '2': '52.35', '3': '44.41', '4': '55.11'}","['c5110', 'c1133', 'c2112']","['c5110', 'c2112', 'c2125']"
