Match Number,Pick Order,Match Result,Team,Hero,First Pick
63,5,Win,Enemy Team,c2111,1
63,8,Win,Enemy Team,c1148,1
63,9,Win,Enemy Team,c4158,1
64,2,Win,My Team,c2112,0
64,3,Win,My Team,c5110,0
64,6,Win,My Team,c6017,0
64,7,Win,My Team,c1055,0
64,10,Win,My Team,c2113,0
64,1,Loss,Enemy Team,c2066,1
64,4,Loss,Enemy Team,c2042,1
64,5,Loss,Enemy Team,c2111,1
64,8,Loss,Enemy Team,c4158,1
64,9,Loss,Enemy Team,c1023,1
65,1,Win,My Team,c2113,1
65,4,Win,My Team,c2039,1
65,5,Win,My Team,c1153,1
65,8,Win,My Team,c2073,1
65,9,Win,My Team,c1022,1
65,2,Loss,Enemy Team,c2095,0
65,3,Loss,Enemy Team,c2070,0
65,6,Loss,Enemy Team,c2042,0
65,7,Loss,Enemy Team,c2132,0
65,10,Loss,Enemy Team,c1104,0
66,2,Win,My Team,c2066,0
66,3,Win,My Team,c2042,0
66,6,Win,My Team,c2095,0
66,7,Win,My Team,c2011,0
66,10,Win,My Team,c1102,0
66,1,Loss,Enemy Team,c2113,1
66,4,Loss,Enemy Team,c2070,1
66,5,Loss,Enemy Team,c1153,1
66,8,Loss,Enemy Team,c2023,1
66,9,Loss,Enemy Team,c1104,1
67,2,Win,My Team,c2066,0
67,3,Win,My Team,c2070,0
67,6,Win,My Team,c1153,0
67,7,Win,My Team,c4158,0
67,10,Win,My Team,c1129,0
67,1,Loss,Enemy Team,c2023,1
67,4,Loss,Enemy Team,c1055,1
67,5,Loss,Enemy Team,c6017,1
67,8,Loss,Enemy Team,c2095,1
67,9,Loss,Enemy Team,c1100,1
68,2,Win,My Team,c5110,0
68,3,Win,My Team,c2011,0
68,6,Win,My Team,c6017,0
68,7,Win,My Team,c2102,0
68,10,Win,My Team,c1104,0
68,1,Loss,Enemy Team,c2112,1
68,4,Loss,Enemy Team,c2042,1
68,5,Loss,Enemy Team,c2090,1
68,8,Loss,Enemy Team,c2016,1
68,9,Loss,Enemy Team,c4158,1
69,1,Win,My Team,c2112,1
69,4,Win,My Team,c5110,1
69,5,Win,My Team,c2011,1
69,8,Win,My Team,c2102,1
69,9,Win,My Team,c1126,1
69,2,Loss,Enemy Team,c2113,0
69,3,Loss,Enemy Team,c2042,0
69,6,Loss,Enemy Team,c2111,0
69,7,Loss,Enemy Team,c4158,0
69,10,Loss,Enemy Team,c2039,0
70,1,Win,My Team,c2112,1
70,4,Win,My Team,c2042,1
70,5,Win,My Team,c2011,1
70,8,Win,My Team,c1133,1
70,9,Win,My Team,c4158,1
70,2,Loss,Enemy Team,c5110,0
70,3,Loss,Enemy Team,c1103,0
70,6,Loss,Enemy Team,c1118,0
70,7,Loss,Enemy Team,c2004,0
70,10,Loss,Enemy Team,c1126,0
71,2,Win,My Team,c2011,0
71,3,Win,My Team,c2066,0
71,6,Win,My Team,c2102,0
71,7,Win,My Team,c1163,0
71,10,Win,My Team,c1118,0
71,1,Loss,Enemy Team,c5110,1
71,4,Loss,Enemy Team,c2106,1
71,5,Loss,Enemy Team,c6017,1
71,8,Loss,Enemy Team,c1112,1
71,9,Loss,Enemy Team,c2016,1
72,2,Win,My Team,c2011,0
72,3,Win,My Team,c2090,0
72,6,Win,My Team,c1163,0
